消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps),运营商索引
180,2023-03-22 22:21:08 (963),1,0,1192,6008,503664,0
181,2023-03-22 22:21:09 (963),1,0,9480,22376,423456,0
182,2023-03-22 22:21:10 (964),1,0,648,6008,353448,0
183,2023-03-22 22:21:11 (983),1,0,10008,21736,423456,0
184,2023-03-22 22:21:12 (963),1,0,648,4728,333792,0
185,2023-03-22 22:21:13 (963),1,0,9456,22376,423456,0
186,2023-03-22 22:21:14 (963),1,0,648,6008,307872,0
187,2023-03-22 22:21:15 (963),1,0,7176,19648,423720,0
188,2023-03-22 22:21:16 (963),1,0,1896,10824,397800,0
189,2023-03-22 22:21:17 (983),1,0,6640,17256,349632,0
190,2023-03-22 22:21:18 (983),1,0,1896,6008,321096,0
191,2023-03-22 22:21:19 (963),1,0,7160,21096,439656,0
192,2023-03-22 22:21:20 (983),1,0,1896,11464,394560,0
193,2023-03-22 22:21:21 (963),1,0,5416,16920,465312,0
194,2023-03-22 22:21:22 (963),1,0,1896,8736,397536,0
195,2023-03-22 22:21:23 (983),1,0,4360,18368,500424,0
196,2023-03-22 22:21:24 (963),1,0,2552,6008,497664,0
197,2023-03-22 22:21:25 (963),1,0,4360,19816,599976,0
198,2023-03-22 22:21:26 (963),1,0,2552,11464,388080,0
199,2023-03-22 22:21:27 (963),1,0,4432,16920,813960,0
200,2023-03-22 22:21:28 (983),1,0,3208,10912,607248,0
201,2023-03-22 22:21:29 (963),1,0,4432,16920,580632,0
202,2023-03-22 22:21:30 (983),1,0,3208,11464,391320,0
203,2023-03-22 22:21:31 (962),1,0,4432,19648,577656,0
204,2023-03-22 22:21:32 (963),1,0,3208,10184,391584,0
205,2023-03-22 22:21:33 (963),1,0,4432,16920,731712,0
206,2023-03-22 22:21:34 (963),1,0,3208,11464,664152,0
207,2023-03-22 22:21:35 (963),1,0,4960,16448,538776,0
208,2023-03-22 22:21:36 (963),1,0,3208,10184,562512,0
209,2023-03-22 22:21:37 (965),1,0,4960,16920,503664,0
210,2023-03-22 22:21:38 (963),1,0,3864,11464,481248,0
211,2023-03-22 22:21:39 (963),1,0,4376,16192,414000,0
212,2023-03-22 22:21:40 (943),1,0,3208,10184,500160,0
213,2023-03-22 22:21:41 (963),1,0,4376,14192,426432,0
214,2023-03-22 22:21:42 (963),1,0,3208,10824,532296,0
215,2023-03-22 22:21:43 (963),1,0,3952,15000,423192,0
216,2023-03-22 22:21:44 (983),1,0,2552,11464,554712,0
217,2023-03-22 22:21:45 (963),1,0,3952,14192,388080,0
218,2023-03-22 22:21:46 (983),1,0,3208,10824,554712,0
219,2023-03-22 22:21:47 (963),1,0,3920,15000,359184,0
