消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps)
209,2023-04-06 20:43:18 (300),1,0,5632,12392,962688
210,2023-04-06 20:43:19 (300),1,0,512,2032,340800
211,2023-04-06 20:43:20 (300),1,0,4976,13520,974904
212,2023-04-06 20:43:21 (300),1,0,512,2032,331080
213,2023-04-06 20:43:22 (300),1,0,5656,13872,640824
214,2023-04-06 20:43:23 (300),1,0,512,2032,272496
215,2023-04-06 20:43:24 (300),1,0,5656,13872,792528
216,2023-04-06 20:43:25 (301),1,0,512,2032,328368
217,2023-04-06 20:43:26 (300),1,0,5104,12392,644376
218,2023-04-06 20:43:27 (300),1,0,512,2032,263304
219,2023-04-06 20:43:28 (300),1,0,5104,12392,1122744
220,2023-04-06 20:43:29 (300),1,0,512,2032,341064
221,2023-04-06 20:43:30 (300),1,0,5592,14000,811080
222,2023-04-06 20:43:31 (300),1,0,512,2032,443952
223,2023-04-06 20:43:32 (300),1,0,6800,15352,778368
224,2023-04-06 20:43:33 (300),1,0,512,1288,443688
225,2023-04-06 20:43:34 (300),1,0,6800,7912,1169664
226,2023-04-06 20:43:35 (300),1,0,512,1288,459888
227,2023-04-06 20:43:36 (300),1,0,7296,8648,641400
228,2023-04-06 20:43:37 (300),1,0,512,1288,314352
229,2023-04-06 20:43:38 (300),1,0,7168,7912,640824
230,2023-04-06 20:43:39 (300),1,0,512,1288,317856
231,2023-04-06 20:43:40 (300),1,0,7272,7912,641400
232,2023-04-06 20:43:41 (300),1,0,512,2032,278976
233,2023-04-06 20:43:42 (300),1,0,7952,15904,669888
234,2023-04-06 20:43:43 (300),1,0,512,2032,363480
235,2023-04-06 20:43:44 (300),1,0,7976,15352,637896
236,2023-04-06 20:43:45 (300),1,0,512,1680,221448
237,2023-04-06 20:43:46 (300),1,0,7448,11832,641664
238,2023-04-06 20:43:47 (300),1,0,512,1680,199032
239,2023-04-06 20:43:48 (300),1,0,7448,11832,641400
240,2023-04-06 20:43:49 (300),1,0,1688,4288,368904
241,2023-04-06 20:43:50 (300),1,0,6928,13872,583824
242,2023-04-06 20:43:51 (300),1,0,1176,1472,365664
243,2023-04-06 20:43:52 (300),1,0,8000,8648,641400
244,2023-04-06 20:43:53 (300),1,0,1176,2024,482040
245,2023-04-06 20:43:54 (300),1,0,6928,13672,519352
246,2023-04-06 20:43:55 (300),1,0,1176,3512,433176
247,2023-04-06 20:43:56 (300),1,0,6272,12392,732288
248,2023-04-06 20:43:57 (300),1,0,1704,3512,549552
249,2023-04-06 20:43:58 (300),1,0,6272,12392,522840
250,2023-04-06 20:43:59 (300),1,0,1704,4992,526344
251,2023-04-06 20:44:00 (300),1,0,6272,12392,526080
252,2023-04-06 20:44:01 (300),1,0,1704,3512,522840
253,2023-04-06 20:44:02 (300),1,0,5680,12392,526080
254,2023-04-06 20:44:03 (300),1,0,3096,7952,567408
255,2023-04-06 20:44:04 (300),1,0,5024,12392,561720
256,2023-04-06 20:44:05 (300),1,0,3096,4992,554712
257,2023-04-06 20:44:06 (300),1,0,5704,12392,529320
258,2023-04-06 20:44:07 (300),1,0,3096,4992,519600
259,2023-04-06 20:44:08 (300),1,0,5760,12392,584136
260,2023-04-06 20:44:09 (300),1,0,3096,6472,497184
261,2023-04-06 20:44:10 (300),1,0,5208,12392,577128
262,2023-04-06 20:44:11 (300),1,0,4488,4992,458568
263,2023-04-06 20:44:12 (300),1,0,5208,12392,966024
264,2023-04-06 20:44:13 (300),1,0,3960,4992,568992
265,2023-04-06 20:44:14 (300),1,0,5808,15352,641088
266,2023-04-06 20:44:15 (300),1,0,3960,4992,401040
267,2023-04-06 20:44:16 (300),1,0,5832,13872,641400
268,2023-04-06 20:44:17 (300),1,0,3960,6472,469080
269,2023-04-06 20:44:18 (300),1,0,7144,13872,1270680
270,2023-04-06 20:44:19 (300),1,0,1872,2760,550080
271,2023-04-06 20:44:20 (300),1,0,7144,13872,641400
272,2023-04-06 20:44:21 (300),1,0,1344,3512,368904
273,2023-04-06 20:44:22 (300),1,0,7144,13872,641400
274,2023-04-06 20:44:23 (300),1,0,1344,3512,368904
275,2023-04-06 20:44:24 (300),1,0,6648,12392,729768
276,2023-04-06 20:44:25 (300),1,0,1344,3512,505248
277,2023-04-06 20:44:26 (300),1,0,7168,13512,593280
278,2023-04-06 20:44:27 (300),1,0,2040,3512,343512
279,2023-04-06 20:44:28 (300),1,0,7168,15352,641400
280,2023-04-06 20:44:29 (300),1,0,2040,3512,359184
281,2023-04-06 20:44:30 (300),1,0,7168,17368,700608
282,2023-04-06 20:44:31 (300),1,0,2040,3512,549768
283,2023-04-06 20:44:32 (300),1,0,7168,14800,1270680
284,2023-04-06 20:44:33 (300),1,0,2040,3512,559488
285,2023-04-06 20:44:34 (300),1,0,7040,16832,1276008
286,2023-04-06 20:44:35 (300),1,0,2040,3512,697968
287,2023-04-06 20:44:36 (300),1,0,7040,16832,1276008
288,2023-04-06 20:44:37 (300),1,0,2040,3512,649680
289,2023-04-06 20:44:38 (300),1,0,6912,18312,794040
290,2023-04-06 20:44:39 (300),1,0,2040,3512,714216
291,2023-04-06 20:44:40 (300),1,0,6360,16832,641664
292,2023-04-06 20:44:41 (300),1,0,2040,3512,487728
293,2023-04-06 20:44:42 (300),1,0,7672,15352,642192
294,2023-04-06 20:44:43 (300),1,0,1344,3512,545784
295,2023-04-06 20:44:44 (300),1,0,7672,15352,1283064
296,2023-04-06 20:44:45 (300),1,0,1344,3512,652704
297,2023-04-06 20:44:46 (300),1,0,5320,9432,570912
298,2023-04-06 20:44:47 (300),1,0,1928,5544,803304
299,2023-04-06 20:44:48 (300),1,0,4800,7952,574152
300,2023-04-06 20:44:49 (300),1,0,1928,4992,516360
301,2023-04-06 20:44:50 (300),1,0,4040,9432,603048
302,2023-04-06 20:44:51 (300),1,0,1824,4992,615744
303,2023-04-06 20:44:52 (300),1,0,4040,7944,548760
304,2023-04-06 20:44:53 (300),1,0,1176,3512,755232
305,2023-04-06 20:44:54 (300),1,0,3488,7952,535800
306,2023-04-06 20:44:55 (300),1,0,1176,3512,471792
307,2023-04-06 20:44:56 (300),1,0,2912,5728,678264
308,2023-04-06 20:44:57 (300),1,0,1176,3512,471792
309,2023-04-06 20:44:58 (300),1,0,3472,4992,436152
310,2023-04-06 20:44:59 (300),1,0,1176,3512,474504
311,2023-04-06 20:45:00 (300),1,0,4544,4976,461808
312,2023-04-06 20:45:01 (300),1,0,1176,2024,474504
313,2023-04-06 20:45:02 (300),1,0,4544,4232,461808
314,2023-04-06 20:45:03 (300),1,0,1176,2024,465048
315,2023-04-06 20:45:04 (300),1,0,4544,5720,700416
316,2023-04-06 20:45:05 (300),1,0,1176,2024,749280
317,2023-04-06 20:45:06 (300),1,0,4016,7952,654792
318,2023-04-06 20:45:07 (300),1,0,1176,3512,717144
319,2023-04-06 20:45:08 (300),1,0,3464,6472,549024
320,2023-04-06 20:45:09 (300),1,0,1176,3512,378624
321,2023-04-06 20:45:10 (300),1,0,3464,6472,513120
322,2023-04-06 20:45:11 (300),1,0,1176,3512,344040
323,2023-04-06 20:45:12 (300),1,0,3464,6744,589512
324,2023-04-06 20:45:13 (300),1,0,2384,7872,484488
325,2023-04-06 20:45:14 (300),1,0,2256,6504,577656
326,2023-04-06 20:45:15 (300),1,0,2976,6672,825624
327,2023-04-06 20:45:16 (300),1,0,3448,9720,552792
328,2023-04-06 20:45:17 (300),1,0,2976,5544,681504
329,2023-04-06 20:45:18 (300),1,0,3448,7800,557328
330,2023-04-06 20:45:19 (300),1,0,2952,6504,484752
331,2023-04-06 20:45:20 (300),1,0,3448,7320,590616
332,2023-04-06 20:45:21 (300),1,0,2944,6024,545256
333,2023-04-06 20:45:22 (300),1,0,4632,6744,542280
334,2023-04-06 20:45:23 (300),1,0,2352,6672,551688
335,2023-04-06 20:45:24 (300),1,0,6432,13248,539304
336,2023-04-06 20:45:25 (300),1,0,2352,6408,726120
337,2023-04-06 20:45:26 (300),1,0,6432,7224,538512
338,2023-04-06 20:45:27 (300),1,0,2352,5064,593328
339,2023-04-06 20:45:28 (300),1,0,6432,7320,668376
340,2023-04-06 20:45:29 (300),1,0,2352,4488,603048
341,2023-04-06 20:45:30 (300),1,0,7600,9576,583608
342,2023-04-06 20:45:31 (300),1,0,2352,5064,606240
343,2023-04-06 20:45:32 (300),1,0,6488,6192,567408
344,2023-04-06 20:45:33 (300),1,0,2352,3912,606288
345,2023-04-06 20:45:34 (300),1,0,7536,5568,570648
346,2023-04-06 20:45:35 (300),1,0,2352,3864,602472
347,2023-04-06 20:45:36 (300),1,0,7536,6624,543888
348,2023-04-06 20:45:37 (300),1,0,2352,3312,570912
349,2023-04-06 20:45:38 (300),1,0,7008,7176,601008
350,2023-04-06 20:45:39 (300),1,0,2944,2760,845688
351,2023-04-06 20:45:40 (300),1,0,6408,4968,524616
352,2023-04-06 20:45:41 (300),1,0,2944,2760,638376
353,2023-04-06 20:45:42 (300),1,0,5880,4072,601944
354,2023-04-06 20:45:43 (300),1,0,2944,3312,592752
355,2023-04-06 20:45:44 (300),1,0,5880,6096,852312
356,2023-04-06 20:45:45 (300),1,0,2968,2760,785832
357,2023-04-06 20:45:46 (300),1,0,5328,5456,602904
358,2023-04-06 20:45:47 (300),1,0,2968,3864,614712
359,2023-04-06 20:45:48 (300),1,0,4728,14112,540072
360,2023-04-06 20:45:49 (300),1,0,2968,5520,400264
361,2023-04-06 20:45:50 (300),1,0,4728,6624,706296
362,2023-04-06 20:45:51 (300),1,0,2992,18928,1126752
363,2023-04-06 20:45:52 (300),1,0,4728,6528,822880
364,2023-04-06 20:45:53 (300),1,0,2344,6840,845912
365,2023-04-06 20:45:54 (300),1,0,5384,6072,902544
366,2023-04-06 20:45:55 (300),1,0,1752,5896,944760
367,2023-04-06 20:45:56 (290),1,0,5384,12720,664656
368,2023-04-06 20:45:57 (300),1,0,0,160368,0
369,2023-04-06 20:45:58 (300),1,0,0,54208,0
370,2023-04-06 20:45:59 (300),1,0,0,0,0
371,2023-04-06 20:46:00 (300),1,0,0,0,0
372,2023-04-06 20:46:01 (300),1,0,0,0,0
373,2023-04-06 20:46:02 (300),1,0,0,0,0
374,2023-04-06 20:46:03 (300),1,0,0,0,0
375,2023-04-06 20:46:04 (300),1,0,0,0,0
376,2023-04-06 20:46:05 (300),1,0,0,0,0
377,2023-04-06 20:46:06 (300),1,0,0,0,0
378,2023-04-06 20:46:07 (300),1,0,0,0,0
379,2023-04-06 20:46:08 (300),1,0,0,0,0
380,2023-04-06 20:46:09 (300),1,0,0,0,0
381,2023-04-06 20:46:10 (300),1,0,0,0,0
382,2023-04-06 20:46:11 (300),1,0,0,0,0
383,2023-04-06 20:46:12 (300),1,0,0,0,0
384,2023-04-06 20:46:13 (300),1,0,0,0,0
385,2023-04-06 20:46:14 (300),1,0,0,0,0
386,2023-04-06 20:46:15 (300),1,0,0,0,0
387,2023-04-06 20:46:16 (300),1,0,0,0,0
388,2023-04-06 20:46:17 (300),1,0,0,0,0
389,2023-04-06 20:46:18 (300),1,0,0,0,0
390,2023-04-06 20:46:19 (300),1,0,0,0,0
391,2023-04-06 20:46:20 (300),1,0,0,0,0
392,2023-04-06 20:46:21 (300),1,0,16976,30568,747528
393,2023-04-06 20:46:22 (300),1,36504,31152,44488,664664
394,2023-04-06 20:46:23 (300),1,0,2952,3312,173736
395,2023-04-06 20:46:24 (300),1,0,1256,3864,430344
396,2023-04-06 20:46:25 (300),1,0,2952,3864,222744
397,2023-04-06 20:46:26 (300),1,0,1256,1656,549808
398,2023-04-06 20:46:27 (300),1,0,3592,2784,527088
399,2023-04-06 20:46:28 (300),1,0,1256,3912,1091360
400,2023-04-06 20:46:29 (300),1,0,5512,2760,324024
401,2023-04-06 20:46:30 (300),1,0,1256,3360,132024
402,2023-04-06 20:46:31 (300),1,0,5512,6192,52192
403,2023-04-06 20:46:32 (301),1,0,1936,2232,138624
404,2023-04-06 20:46:33 (300),1,0,5512,2208,89400
405,2023-04-06 20:46:34 (300),1,0,3576,3912,154800
406,2023-04-06 20:46:35 (300),1,0,7432,7296,143808
407,2023-04-06 20:46:36 (300),1,0,4696,6096,425968
408,2023-04-06 20:46:37 (300),1,0,9368,4488,301560
409,2023-04-06 20:46:38 (281),1,0,5456,7824,377968
410,2023-04-06 20:46:39 (300),1,0,9368,6624,235080
411,2023-04-06 20:46:40 (300),1,0,6136,7224,287064
412,2023-04-06 20:46:41 (300),1,0,9368,7296,180184
413,2023-04-06 20:46:42 (300),1,0,7784,11784,338112
414,2023-04-06 20:46:43 (300),1,0,9592,8976,195968
415,2023-04-06 20:46:44 (300),1,0,8840,15720,166616
416,2023-04-06 20:46:45 (300),1,0,8592,3312,105792
417,2023-04-06 20:46:46 (300),1,0,8840,4992,407832
418,2023-04-06 20:46:47 (300),1,0,8592,6120,298224
419,2023-04-06 20:46:48 (300),1,0,9416,6072,441736
420,2023-04-06 20:46:49 (300),1,0,8592,6168,517751
421,2023-04-06 20:46:50 (300),1,0,10112,4416,329984
422,2023-04-06 20:46:51 (300),1,0,8064,3864,237712
423,2023-04-06 20:46:52 (300),1,0,10768,5544,174048
424,2023-04-06 20:46:53 (300),1,0,12296,3312,184552
425,2023-04-06 20:46:54 (301),1,0,9432,5544,258839
426,2023-04-06 20:46:55 (300),1,0,11776,3864,334736
427,2023-04-06 20:46:56 (300),1,0,10216,5568,224112
428,2023-04-06 20:46:57 (300),1,0,12296,3864,235648
429,2023-04-06 20:46:58 (300),1,0,10048,5568,278616
430,2023-04-06 20:46:59 (300),1,0,12184,5016,286152
431,2023-04-06 20:47:00 (300),1,0,10752,4992,274456
432,2023-04-06 20:47:01 (300),1,0,7480,6144,316256
433,2023-04-06 20:47:02 (300),1,0,11408,6696,427232
434,2023-04-06 20:47:03 (300),1,0,7480,8400,317344
435,2023-04-06 20:47:04 (300),1,0,10048,4832,302096
436,2023-04-06 20:47:05 (300),1,0,7480,3864,310584
437,2023-04-06 20:47:06 (300),1,0,7296,5544,408144
438,2023-04-06 20:47:07 (300),1,0,7648,6672,215752
439,2023-04-06 20:47:08 (300),1,0,7280,5568,269664
440,2023-04-06 20:47:09 (300),1,0,8344,4648,243976
441,2023-04-06 20:47:10 (300),1,0,7304,4440,345496
442,2023-04-06 20:47:11 (300),1,0,8344,8536,226376
443,2023-04-06 20:47:12 (301),1,0,6520,5568,348552
444,2023-04-06 20:47:13 (300),1,0,8344,3888,238856
445,2023-04-06 20:47:14 (300),1,0,7648,9936,451912
446,2023-04-06 20:47:15 (300),1,0,9232,3312,249344
447,2023-04-06 20:47:16 (300),1,0,7120,5544,423144
448,2023-04-06 20:47:17 (300),1,0,6600,3312,226920
449,2023-04-06 20:47:18 (300),1,0,8480,9592,382768
450,2023-04-06 20:47:19 (300),1,0,6600,5544,432136
451,2023-04-06 20:47:20 (300),1,0,7904,8376,259815
452,2023-04-06 20:47:21 (300),1,0,7248,5176,244360
453,2023-04-06 20:47:22 (300),1,0,7896,7800,226344
454,2023-04-06 20:47:23 (300),1,0,6024,12888,186144
455,2023-04-06 20:47:24 (300),1,0,6712,7456,308328
456,2023-04-06 20:47:25 (300),1,0,4232,5520,327336
457,2023-04-06 20:47:26 (300),1,0,7840,10000,334048
458,2023-04-06 20:47:27 (300),1,0,4232,9872,281712
459,2023-04-06 20:47:28 (300),1,0,7856,8376,330432
460,2023-04-06 20:47:29 (300),1,0,3712,6168,129960
461,2023-04-06 20:47:30 (300),1,0,6728,21080,187792
462,2023-04-06 20:47:31 (300),1,0,7000,7848,108552
463,2023-04-06 20:47:32 (300),1,0,6808,13992,201600
464,2023-04-06 20:47:33 (300),1,0,7000,8400,133016
465,2023-04-06 20:47:34 (300),1,0,9864,14592,132944
466,2023-04-06 20:47:35 (300),1,0,7000,19656,143936
467,2023-04-06 20:47:36 (300),1,0,11256,15376,217736
468,2023-04-06 20:47:37 (300),1,0,7000,4416,167288
469,2023-04-06 20:47:38 (300),1,0,11256,5544,133400
470,2023-04-06 20:47:39 (300),1,0,5608,4416,130120
471,2023-04-06 20:47:40 (300),1,0,12488,14640,164336
472,2023-04-06 20:47:41 (300),1,0,5608,11208,152176
473,2023-04-06 20:47:42 (300),1,0,10472,6672,205504
474,2023-04-06 20:47:43 (300),1,0,5608,9000,196544
475,2023-04-06 20:47:44 (300),1,0,9080,14376,310600
476,2023-04-06 20:47:45 (300),1,0,5608,17472,227112
477,2023-04-06 20:47:46 (300),1,0,9208,6120,235664
478,2023-04-06 20:47:47 (300),1,0,4888,8976,209752
479,2023-04-06 20:47:48 (300),1,0,7320,7776,328312
480,2023-04-06 20:47:49 (300),1,0,4888,6072,263912
481,2023-04-06 20:47:50 (300),1,0,5408,4968,352120
482,2023-04-06 20:47:51 (300),1,0,4888,4416,230568
483,2023-04-06 20:47:52 (300),1,0,5408,9408,298728
484,2023-04-06 20:47:53 (300),1,0,4240,3336,169440
485,2023-04-06 20:47:54 (300),1,0,4752,6096,292784
486,2023-04-06 20:47:55 (300),1,0,3528,2208,190112
487,2023-04-06 20:47:56 (300),1,0,5488,8856,430288
488,2023-04-06 20:47:57 (300),1,0,4192,4416,220000
489,2023-04-06 20:47:58 (300),1,0,4936,3864,295680
490,2023-04-06 20:47:59 (300),1,0,4192,2760,170288
491,2023-04-06 20:48:00 (300),1,0,8976,8328,370848
492,2023-04-06 20:48:01 (300),1,0,4192,6720,205672
493,2023-04-06 20:48:02 (300),1,0,9504,9480,379560
494,2023-04-06 20:48:03 (300),1,0,3672,6168,210920
495,2023-04-06 20:48:04 (300),1,0,8192,17904,439784
496,2023-04-06 20:48:05 (300),1,0,4856,3192,333408
497,2023-04-06 20:48:06 (300),1,0,7600,4440,288960
498,2023-04-06 20:48:07 (300),1,0,4856,3312,338032
499,2023-04-06 20:48:08 (300),1,0,3560,8424,256480
500,2023-04-06 20:48:09 (300),1,0,4856,7320,337352
501,2023-04-06 20:48:10 (300),1,0,3560,7320,389208
502,2023-04-06 20:48:11 (300),1,0,4856,14088,176072
503,2023-04-06 20:48:12 (301),1,0,4872,11808,256224
504,2023-04-06 20:48:13 (300),1,0,3832,3520,170120
