消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
27,5G基站,2023-03-22 22:18:36 (279),1,1,3,3,-77,-10
28,5G基站,2023-03-22 22:18:37 (309),1,1,3,3,-77,-10
29,5G基站,2023-03-22 22:18:38 (330),1,1,3,3,-77,-10
30,5G基站,2023-03-22 22:18:39 (370),1,1,3,3,-77,-10
31,5G基站,2023-03-22 22:18:40 (374),1,1,3,3,-76,-10
32,5G基站,2023-03-22 22:18:41 (409),1,1,3,3,-77,-10
33,5G基站,2023-03-22 22:18:42 (424),1,1,3,3,-76,-10
34,5G基站,2023-03-22 22:18:43 (469),1,1,3,3,-77,-10
35,5G基站,2023-03-22 22:18:44 (474),1,1,3,3,-76,-10
36,5G基站,2023-03-22 22:18:45 (509),1,1,3,3,-77,-10
37,5G基站,2023-03-22 22:18:46 (524),1,1,3,3,-76,-10
38,5G基站,2023-03-22 22:18:47 (569),1,1,3,3,-76,-10
39,5G基站,2023-03-22 22:18:48 (575),1,1,3,3,-76,-10
40,5G基站,2023-03-22 22:18:49 (610),1,1,3,3,-76,-10
41,5G基站,2023-03-22 22:18:50 (629),1,1,3,3,-76,-10
42,5G基站,2023-03-22 22:18:51 (669),1,1,3,3,-77,-10
43,5G基站,2023-03-22 22:18:52 (689),1,1,3,3,-76,-10
44,5G基站,2023-03-22 22:18:53 (700),1,1,3,3,-76,-10
45,5G基站,2023-03-22 22:18:54 (729),1,1,3,3,-76,-10
46,5G基站,2023-03-22 22:18:55 (750),1,1,3,3,-76,-10
47,5G基站,2023-03-22 22:18:56 (789),1,1,3,3,-76,-10
48,5G基站,2023-03-22 22:18:57 (800),1,1,3,3,-76,-10
49,5G基站,2023-03-22 22:18:58 (829),1,1,3,3,-76,-10
50,5G基站,2023-03-22 22:18:59 (850),1,1,3,3,-76,-10
51,5G基站,2023-03-22 22:19:00 (874),1,1,3,3,-76,-10
52,5G基站,2023-03-22 22:19:01 (899),1,1,3,3,-77,-10
53,5G基站,2023-03-22 22:19:02 (924),1,1,3,3,-76,-10
54,5G基站,2023-03-22 22:19:03 (950),1,1,3,3,-75,-10
55,5G基站,2023-03-22 22:19:04 (974),1,1,3,3,-76,-10
56,5G基站,2023-03-22 22:19:05 (999),1,1,3,3,-77,-10
57,5G基站,2023-03-22 22:19:07 (24),1,1,3,3,-77,-10
58,5G基站,2023-03-22 22:19:08 (50),1,1,3,3,-77,-10
59,5G基站,2023-03-22 22:19:09 (70),1,1,3,3,-78,-10
60,5G基站,2023-03-22 22:19:10 (95),1,1,3,3,-77,-10
61,5G基站,2023-03-22 22:19:11 (120),1,1,3,3,-77,-10
62,5G基站,2023-03-22 22:19:12 (159),1,1,3,3,-77,-10
63,5G基站,2023-03-22 22:19:13 (170),1,1,3,3,-78,-10
64,5G基站,2023-03-22 22:19:14 (194),1,1,3,3,-78,-10
65,5G基站,2023-03-22 22:19:15 (219),1,1,3,3,-78,-10
66,5G基站,2023-03-22 22:19:16 (244),1,1,3,3,-78,-10
67,5G基站,2023-03-22 22:19:17 (269),1,1,3,3,-78,-10
68,5G基站,2023-03-22 22:19:18 (294),1,1,3,3,-78,-10
69,5G基站,2023-03-22 22:19:19 (319),1,1,3,3,-78,-10
70,5G基站,2023-03-22 22:19:20 (345),1,1,3,3,-78,-10
71,5G基站,2023-03-22 22:19:21 (389),1,1,3,3,-78,-10
72,5G基站,2023-03-22 22:19:22 (395),1,1,3,3,-77,-10
73,5G基站,2023-03-22 22:19:23 (429),1,1,3,3,-78,-10
74,5G基站,2023-03-22 22:19:24 (445),1,1,3,3,-78,-10
75,5G基站,2023-03-22 22:19:25 (489),1,1,3,3,-78,-10
76,5G基站,2023-03-22 22:19:26 (495),1,1,3,3,-77,-10
77,5G基站,2023-03-22 22:19:27 (529),1,1,3,3,-78,-10
78,5G基站,2023-03-22 22:19:28 (549),1,1,3,3,-78,-10
79,5G基站,2023-03-22 22:19:29 (589),1,1,3,3,-78,-10
80,5G基站,2023-03-22 22:19:30 (594),1,1,3,3,-77,-10
81,5G基站,2023-03-22 22:19:31 (630),1,1,3,3,-78,-11
82,5G基站,2023-03-22 22:19:32 (644),1,1,3,3,-77,-10
83,5G基站,2023-03-22 22:19:33 (690),1,1,3,3,-77,-10
84,5G基站,2023-03-22 22:19:34 (694),1,1,3,3,-77,-10
